Unit Code,Unit Title,Dept,Value,Link code,Instance
I00485,U3452PYC | BSc (Hons) User Experience Design | Year 1 | Semester 1,CTS,0,I00485,Sem1
I00485,U3452PYC | BSc (Hons) User Experience Design | Year 1 | Semester 1,CTS,0,I00485,Sem2
I00486,U3452PYC | BSc (Hons) User Experience Design | Year 2 | Semester 1,CTS,0,I00486,Sem1
I00486,U3452PYC | BSc (Hons) User Experience Design | Year 2 | Semester 1,CTS,0,I00486,Sem2
I00487,U3452PYC | BSc (Hons) User Experience Design | Year 3 | Semester 1,CTS,0,I00487,Sem1
I00487,U3452PYC | BSc (Hons) User Experience Design | Year 3 | Semester 1,CTS,0,I00487,Sem2
I00488,U2914PYC | BSc (Hons) Virtual and Augmented Reality | Year 1 | Semester 1,CTS,0,I00488,Sem1
I00488,U2914PYC | BSc (Hons) Virtual and Augmented Reality | Year 1 | Semester 1,CTS,0,I00488,Sem2
I00489,U2914PYC | BSc (Hons) Virtual and Augmented Reality | Year 2 | Semester 1,CTS,0,I00489,Sem1
I00489,U2914PYC | BSc (Hons) Virtual and Augmented Reality | Year 2 | Semester 1,CTS,0,I00489,Sem2
I00490,U2914PYC | BSc (Hons) Virtual and Augmented Reality | Year 3 | Semester 1,CTS,0,I00490,Sem1
I00490,U2914PYC | BSc (Hons) Virtual and Augmented Reality | Year 3 | Semester 1,CTS,0,I00490,Sem2
I00491,U3482PYC | BSc (Hons) Virtual Production | Year 1 | Semester 1,CTS,0,I00491,Sem1
I00491,U3482PYC | BSc (Hons) Virtual Production | Year 1 | Semester 1,CTS,0,I00491,Sem2
I00492,U3482PYC | BSc (Hons) Virtual Production | Year 2 | Semester 1,CTS,0,I00492,Sem1
I00492,U3482PYC | BSc (Hons) Virtual Production | Year 2 | Semester 1,CTS,0,I00492,Sem2
I00493,U3482PYC | BSc (Hons) Virtual Production | Year 3 | Semester 1,CTS,0,I00493,Sem1
I00493,U3482PYC | BSc (Hons) Virtual Production | Year 3 | Semester 1,CTS,0,I00493,Sem2
I00494,U2633FTC | CertEd Further Education and Training (Full Time) | Year 1 | Semester,SELL,0,I00494,Sem1
I00494,U2633FTC | CertEd Further Education and Training (Full Time) | Year 1 | Semester,SELL,0,I00494,Sem2
I00495,U3414FTD | CertEd Further Education and Training (Distance Learning) (Full Time),SELL,0,I00495,Sem1
I00495,U3414FTD | CertEd Further Education and Training (Distance Learning) (Full Time),SELL,0,I00495,Sem2
I00496,U0923FTC | CertHE Dental Nursing (Full Time) | Year 1 | Semester 1,UPDA,0,I00496,Sem1
I00496,U0923FTC | CertHE Dental Nursing (Full Time) | Year 1 | Semester 1,UPDA,0,I00496,Sem2
I00497,U3169PTD | CertHE Professional Studies (Distance Learning) | Year 1 | Semester 1,LATW,0,I00497,Sem1
I00497,U3169PTD | CertHE Professional Studies (Distance Learning) | Year 1 | Semester 1,LATW,0,I00497,Sem2
I00498,U3169PTD | CertHE Professional Studies (Distance Learning) | Year 2 | Semester 1,LATW,0,I00498,Sem1
I00498,U3169PTD | CertHE Professional Studies (Distance Learning) | Year 2 | Semester 1,LATW,0,I00498,Sem2
I00499,N3156SCD | CBSC Certificate in Intellectual Property Crime and Illicit Trade (Di,SCCJ,0,I00499,Sem1
I00499,N3156SCD | CBSC Certificate in Intellectual Property Crime and Illicit Trade (Di,SCCJ,0,I00499,Sem2
I00500,N3440SCC | Credit Bearing Short Course Teach Well: Principles to Practice | Year,ADP,0,I00500,Sem1
I00500,N3440SCC | Credit Bearing Short Course Teach Well: Principles to Practice | Year,ADP,0,I00500,Sem2
I00501,C3181FTC | DipHE Cognitive Behavioural Therapy | Year 1 | Semester 1,PSYC,0,I00501,Sem1
I00501,C3181FTC | DipHE Cognitive Behavioural Therapy | Year 1 | Semester 1,PSYC,0,I00501,Sem2
I00501,U3562PTD | BEng (Hons) Engineering Management (DL) (Top-Up) | Year 1 | Semester,SMDE,0,I00501,Sem1
I00501,U3562PTD | BEng (Hons) Engineering Management (DL) (Top-Up) | Year 1 | Semester,SMDE,0,I00501,Sem2
I00502,C3181FTC | DipHE Cognitive Behavioural Therapy | Year 2 | Semester 1,PSYC,0,I00502,Sem1
I00502,C3181FTC | DipHE Cognitive Behavioural Therapy | Year 2 | Semester 1,PSYC,0,I00502,Sem2
I00502,U3100FTC | BA (Hons) Language Studies (Top-Up) | Year 1 | Semester 1,SELL,0,I00502,Sem1
I00502,U3100FTC | BA (Hons) Language Studies (Top-Up) | Year 1 | Semester 1,SELL,0,I00502,Sem2
I00503,U3536PYC | BA (Hons) Theatre | Year 1 | Semester 1,ADP,0,I00503,Sem1
I00503,U3536PYC | BA (Hons) Theatre | Year 1 | Semester 1,ADP,0,I00503,Sem2
I00503,C3182FTC | DipHE Gestalt Counselling | Year 1 | Semester 1,PSYC,0,I00503,Sem1
I00503,C3182FTC | DipHE Gestalt Counselling | Year 1 | Semester 1,PSYC,0,I00503,Sem2
I00504,C3182FTC | DipHE Gestalt Counselling | Year 2 | Semester 1,PSYC,0,I00504,Sem1
I00504,C3182FTC | DipHE Gestalt Counselling | Year 2 | Semester 1,PSYC,0,I00504,Sem2
I00504,R2231PTC | Professional Doctorate Business Administration (DBA) | Year 4 | Semes,SMI,0,I00504,Sem1
I00504,R2231PTC | Professional Doctorate Business Administration (DBA) | Year 4 | Semes,SMI,0,I00504,Sem2
I00505,C3183FTC | DipHE Humanistic Counselling | Year 1 | Semester 1,PSYC,0,I00505,Sem1
I00505,C3183FTC | DipHE Humanistic Counselling | Year 1 | Semester 1,PSYC,0,I00505,Sem2
I00505,U3517PYC | BSc (Hons) Mathematics with Machine Learning | Year 1 | Semester 1,SMAP,0,I00505,Sem1
I00505,U3517PYC | BSc (Hons) Mathematics with Machine Learning | Year 1 | Semester 1,SMAP,0,I00505,Sem2
I00506,C3183FTC | DipHE Humanistic Counselling | Year 2 | Semester 1,PSYC,0,I00506,Sem1
I00506,C3183FTC | DipHE Humanistic Counselling | Year 2 | Semester 1,PSYC,0,I00506,Sem2
